# danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
2.630000000000000115e-01,2.020000000000000129e-01,1.000000000000000000e+00,-1.768700000000000117e+01,1.000000000000000000e+00,4.080000000000000293e-02,9.839999999999999858e-01,9.050000000000000266e-01,8.899999999999999578e-02,1.199999999999999956e-01,7.146200000000000330e+01,5.457470000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,8.129999999999999449e-01,4.000000000000000000e+00,-5.708000000000000185e+00,0.000000000000000000e+00,2.899999999999999800e-01,2.439999999999999947e-01,0.000000000000000000e+00,1.280000000000000027e-01,7.049999999999999600e-01,1.540620000000000118e+02,2.177600000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
9.150000000000000355e-01,5.510000000000000453e-01,8.000000000000000000e+00,-1.049000000000000021e+01,1.000000000000000000e+00,3.430000000000000271e-01,3.420000000000000123e-02,0.000000000000000000e+00,1.019999999999999934e-01,7.530000000000000027e-01,1.249060000000000059e+02,8.832000000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+00
5.390000000000000346e-01,4.869999999999999885e-01,1.000000000000000000e+00,-9.653000000000000469e+00,1.000000000000000000e+00,2.020000000000000129e-01,3.089999999999999969e-01,0.000000000000000000e+00,9.700000000000000289e-02,3.750000000000000000e-01,1.699850000000000136e+02,1.863530000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.299999999999999600e-01,6.119999999999999885e-01,1.000000000000000000e+01,-7.445999999999999730e+00,0.000000000000000000e+00,7.900000000000000078e-02,1.120000000000000023e-01,0.000000000000000000e+00,8.920000000000000151e-02,2.520000000000000018e-01,9.798900000000000432e+01,2.439560000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
4.560000000000000164e-01,4.560000000000000164e-01,1.100000000000000000e+01,-1.605499999999999972e+01,0.000000000000000000e+00,5.349999999999999895e-02,9.729999999999999760e-01,3.529999999999999805e-01,1.859999999999999987e-01,9.739999999999999769e-01,1.444890000000000043e+02,2.106800000000000000e+05,3.000000000000000000e+00,0.000000000000000000e+00
1.839999999999999969e-01,9.739999999999999769e-01,8.000000000000000000e+00,-6.237000000000000099e+00,0.000000000000000000e+00,1.059999999999999970e-01,2.320000000000000149e-05,8.860000000000000098e-01,2.409999999999999920e-01,3.300000000000000155e-01,9.377100000000000080e+01,2.573900000000000000e+05,3.000000000000000000e+00,0.000000000000000000e+00
6.410000000000000142e-01,6.730000000000000426e-01,6.000000000000000000e+00,-7.017000000000000348e+00,0.000000000000000000e+00,8.569999999999999840e-02,4.289999999999999925e-01,0.000000000000000000e+00,1.049999999999999961e-01,7.850000000000000311e-01,1.499739999999999895e+02,1.921070000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e-01,9.819999999999999840e-01,1.000000000000000000e+00,-7.910999999999999588e+00,0.000000000000000000e+00,1.449999999999999900e-01,5.810000000000000277e-05,1.510000000000000112e-04,1.710000000000000131e-01,1.660000000000000087e-01,1.367069999999999936e+02,1.263330000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
7.620000000000000107e-01,7.029999999999999583e-01,1.000000000000000000e+01,-7.950999999999999623e+00,0.000000000000000000e+00,3.059999999999999942e-01,2.059999999999999887e-01,0.000000000000000000e+00,9.120000000000000329e-02,5.190000000000000169e-01,1.513290000000000077e+02,2.471780000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.780000000000000027e-01,5.999999999999999778e-01,6.000000000000000000e+00,-7.855999999999999872e+00,1.000000000000000000e+00,1.419999999999999873e-01,4.050000000000000266e-01,0.000000000000000000e+00,1.189999999999999947e-01,5.390000000000000346e-01,7.500600000000000023e+01,1.838910000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
4.470000000000000084e-01,4.490000000000000102e-01,2.000000000000000000e+00,-1.063400000000000034e+01,1.000000000000000000e+00,3.760000000000000148e-02,9.340000000000000524e-01,9.609999999999999654e-01,6.969999999999999807e-02,3.599999999999999728e-02,9.246800000000000352e+01,3.154270000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
3.790000000000000036e-01,7.499999999999999722e-02,0.000000000000000000e+00,-2.032799999999999940e+01,1.000000000000000000e+00,4.080000000000000293e-02,9.919999999999999929e-01,9.130000000000000338e-01,1.059999999999999970e-01,3.529999999999999805e-02,6.823199999999999932e+01,2.411870000000000000e+05,3.000000000000000000e+00,0.000000000000000000e+00
8.529999999999999805e-01,6.159999999999999920e-01,6.000000000000000000e+00,-8.239000000000000767e+00,0.000000000000000000e+00,2.640000000000000124e-01,1.039999999999999952e-02,0.000000000000000000e+00,6.439999999999999891e-02,6.909999999999999476e-01,1.250589999999999975e+02,1.305600000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
3.380000000000000226e-01,9.879999999999999893e-01,8.000000000000000000e+00,-7.290000000000000036e+00,0.000000000000000000e+00,8.649999999999999356e-02,8.349999999999999675e-05,8.329999999999999627e-01,3.769999999999999740e-02,4.490000000000000102e-01,9.904600000000000648e+01,2.219600000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
